id,retweet_count,favorite_count,rating_numerator,rating_denominator,name
852189679701164033,1528,11122,12,10,Sailor
851464819735769094,6788,23569,14,10,Iggy
851224888060895234,5528,20114,13,10,Snoop
850753642995093505,8755,29922,11,10,Kyle
850380195714523136,2510,12754,13,10,Leo
850145622816686080,3660,15911,11,10,Riley
850019790995546112,4694,19876,12,10,Boomer
849412302885593088,3039,15474,12,10,Noosh
849051919805034497,8184,41285,13,10,Kevin
848324959059550208,4474,24121,12,10,Odin
848212111729840128,2928,15951,6,10,Jerry
847962785489326080,4905,22999,10,10,Georgie
847842811428974592,1283,5314,12,10,Rontu
847606175596138505,3328,18369,12,10,Cannon
847251039262605312,4193,20058,12,10,Furzey
847157206088847362,5688,19468,11,10,Daisy
846874817362120707,3808,19670,13,10,Tuck
846514051647705089,11180,43645,13,10,Barney
846153765933735936,8767,30924,13,10,Vixen
846042936437604353,2779,15664,12,10,Jarvis
845397057150107648,1744,7485,13,10,Mimosa
845306882940190720,5241,22886,12,10,Pickles
844973813909606400,3094,14797,12,10,Brady
844580511645339650,3035,16184,11,10,Charlie
844223788422217728,2134,13433,12,10,Margo
843856843873095681,4508,21080,12,10,Sadie
843604394117681152,2670,16602,11,10,Hank
843235543001513987,5876,21148,13,10,Tycho
842846295480000512,3548,15047,13,10,Charlie
842765311967449089,1245,6628,12,10,Indie
842535590457499648,3425,17826,13,10,Winnie
842163532590374912,5648,24054,12,10,George
842115215311396866,2958,13766,12,10,Bentley
841680585030541313,7639,25369,12,10,Penny
841314665196081154,4540,15634,13,10,Max
841077006473256960,5193,22527,12,10,Dawn
840632337062862849,1729,8870,12,10,Maddie
840268004936019968,5603,19007,12,10,Monty
839990271299457024,2227,13244,13,10,Sojourner
839549326359670784,7596,27106,12,10,Winston
839239871831150596,6408,26777,13,10,Odie
838921590096166913,2011,10999,13,10,Arlo
838561493054533637,1311,10832,13,10,Walter
838476387338051585,4685,22227,13,10,Stanley
838083903487373313,3066,17420,13,10,Daisy
837482249356513284,437,3821,13,10,Waffles
837471256429613056,2232,12650,12,10,Vincent
837110210464448512,2327,15888,13,10,Clark
836989968035819520,2265,12621,12,10,Mookie
836753516572119041,4568,19156,12,10,Meera
836677758902222849,2194,12498,11,10,Oliver
836380477523124226,2942,14627,12,10,Ava
836260088725786625,4242,21118,13,10,Lucy
835574547218894849,3564,17637,11,10,Eli
835297930240217089,2964,16328,12,10,Ash
835264098648616962,1666,7667,12,10,Lola
834931633769889797,1616,10713,12,10,Tucker
834786237630337024,5427,21228,13,10,Tobi
834458053273591808,1655,9532,12,10,Chester
834209720923721728,4677,20406,12,10,Wilson
834167344700198914,3610,15704,11,10,Sunshine
834086379323871233,2182,12953,12,10,Lipton
833863086058651648,2373,13336,12,10,Bentley
833826103416520705,3729,17941,13,10,Charlie
833722901757046785,3179,20668,13,10,Bronte
833479644947025920,2025,14754,13,10,Poppy
833124694597443584,4775,20050,12,10,Gidget
832998151111966721,2171,13156,13,10,Rhino
832757312314028032,3579,16748,13,10,Willow
832645525019123713,524,2909,10,10,not
832636094638288896,2750,15746,12,10,Orion
832397543355072512,2191,11885,12,10,Eevee
832369877331693569,3155,17088,11,10,Charlie
832273440279240704,2316,11282,14,10,Smiley
